Month of Date,Cannabidiol (CBD) Cases,Synthetic Cannabinoid Cases
January 2015,1,355
February 2015,0,273
March 2015,1,270
April 2015,1,"1,511"
May 2015,1,"1,205"
June 2015,2,655
July 2015,1,740
August 2015,1,721
September 2015,2,629
October 2015,2,614
November 2015,0,454
December 2015,3,365
January 2016,1,292
February 2016,3,282
March 2016,1,302
April 2016,2,207
May 2016,4,228
June 2016,1,170
July 2016,7,224
August 2016,5,211
September 2016,4,175
October 2016,3,155
November 2016,2,279
December 2016,1,178
January 2017,6,188
February 2017,2,155
March 2017,4,157
April 2017,6,165
May 2017,5,193
June 2017,7,195
July 2017,6,167
August 2017,12,139
September 2017,9,162
October 2017,12,234
November 2017,10,101
December 2017,39,103
January 2018,40,145
February 2018,27,191
March 2018,40,175
April 2018,26,309
May 2018,39,178
June 2018,34,175
July 2018,37,157
August 2018,52,172
September 2018,53,199
October 2018,51,97
November 2018,69,97
December 2018,65,98
January 2019,66,89
February 2019,72,120
March 2019,118,97
April 2019,132,102
May 2019,156,112
June 2019,126,113
July 2019,196,105
August 2019,174,85
September 2019,170,83
October 2019,172,93
November 2019,147,73
December 2019,137,91
January 2020,156,81
February 2020,188,92
March 2020,150,69
April 2020,161,65
May 2020,161,77
June 2020,194,118
July 2020,187,119
August 2020,232,169
September 2020,233,129
October 2020,223,95
November 2020,238,111
December 2020,241,62
January 2021,254,88
February 2021,273,84
March 2021,398,96
April 2021,413,118
May 2021,413,107
June 2021,423,82
July 2021,472,68
August 2021,512,62
September 2021,516,67
October 2021,502,75
November 2021,530,47
December 2021,516,89
January 2022,526,53
February 2022,564,35
March 2022,629,43
April 2022,480,51
