,Real GDP,Consumption,Investment,Net exports,Government spending,Month
1/1/2021,5.6,6.1,-0.28,-1.14,0.95,Jan-21
1/4/2021,6.4,9.04,-1.01,-0.82,-0.78,Apr-21
1/7/2021,3.5,2.11,2.73,-1.1,-0.28,Jul-21
1/10/2021,7.4,3,4.68,-0.22,-0.04,Oct-21
1/1/2022,-1,0.64,1.34,-2.4,-0.6,Jan-22
1/4/2022,0.3,1.71,-1.67,0.5,-0.27,Apr-22
1/7/2022,2.7,1.02,-1.05,2.5,0.26,Jul-22
1/10/2022,3.4,0.81,1.08,0.56,0.9,Oct-22
1/1/2023,2.8,3.27,-1.63,0.33,0.84,Jan-23
1/4/2023,2.4,0.65,1.42,-0.11,0.48,Apr-23
1/7/2023,4.4,1.72,1.8,-0.1,0.94,Jul-23
1/10/2023,3.2,2.33,0.16,0.09,0.61,Oct-23
1/1/2024,1.6,1.3,0.64,-0.61,0.3,Jan-24
1/4/2024,3,1.9,1.47,-0.9,0.52,Apr-24
1/7/2024,3.1,2.48,0.16,-0.43,0.86,Jul-24
1/10/2024,2.4,2.7,-1.03,0.26,0.52,Oct-24
1/1/2025,-0.2,0.8,3.98,-4.9,-0.12,Jan-25
