State,Percentage
Alaska,30.3
Washington,25.4
Oregon,41.8
Idaho,1.0
Montana,12.6
Wyoming,10.2
North Dakota,10.1
South Dakota,42.4
Minnesota,18.1
Iowa,-1.4
Wisconsin,27.3
California,15.7
Nevada,3.0
Utah,36.3
Arizona,5.5
Colorado,42.5
New Mexico,19.1
Nebraska,23.2
Kansas,16.8
Oklahoma,10.1
Texas,9.3
Missouri,30.7
Arkansas,20.2
Louisiana,30.8
Illinois,7.9
Michigan,18.8
Indiana,29.7
Kentucky,45.3
Tennessee,37.0
Mississippi,-3.07
Alabama,5.2
Georgia,31.4
Florida,18.9
New York,19.2
Pennsylvania,20.6
Virginia,10.8
North Carolina,8.4
South Carolina,2.4
New Hampshire,24.9
Vermont,16.2
Massachusetts,17.3
Maine,40.2
Rhode Island,13.8
Conneticut,12.6
New Jersey,11.9
Delaware,-0.5
Maryland,55.6
West Virginia,10.4
Hawaii,10.0
Ohio,20.1
