group,age,count
Female,15,17381
Female,16,8095
Female,17,8484
Female,18,17217
Female,19,29625
Female,20,40361
Female,21,60204
Female,22,78562
Female,23,93829
Female,24,107578
Female,25,115311
Female,26,131723
Female,27,134582
Female,28,130800
Female,29,123872
Female,30,120377
Female,31,109978
Female,32,92827
Female,33,78418
Female,34,60671
Female,35,66720
Female,36,48862
Female,37,47564
Female,38,43329
Female,39,40939
Female,40,38546
Female,41,34150
Female,42,37694
Female,43,28109
Female,44,22098
Female,45,27870
Female,46,22006
Female,47,21970
Female,48,23413
Female,49,17266
Female,50,18003
Female,51,19382
Female,52,17475
Female,53,20812
Female,54,17331
Female,55,14409
Female,56,13185
Female,57,14137
Female,58,8963
Female,59,8835
Female,60,7253
Female,61,9878
Female,62,8739
Female,63,8454
Female,64,7087
Female,65,6791
Female,66,6927
Female,67,5039
Female,68,4109
Female,69,4381
Female,70,3489
Female,71,3504
Female,72,1745
Female,73,1756
Female,74,1763
Female,75,2366
Female,76,1174
Female,77,948
Female,78,1291
Female,79,1570
Female,80,570
Female,81,1272
Female,82,549
Female,83,308
Female,84,751
Female,85,345
Female,86,162
Female,87,68
Female,88,116
Female,89,309
Female,90,1062
Female,91,454
Female,92,269
Female,93,222
Female,94,353
Female,95,0
Female,96,482
Female,97,421
Female,98,17
Female,99,0
Female,100,74
Male,15,18579
Male,16,10226
Male,17,7316
Male,18,9633
Male,19,18980
Male,20,35698
Male,21,45556
Male,22,58975
Male,23,74403
Male,24,90535
Male,25,92359
Male,26,110787
Male,27,120944
Male,28,124884
Male,29,131902
Male,30,124154
Male,31,111974
Male,32,103256
Male,33,100144
Male,34,87086
Male,35,77830
Male,36,64051
Male,37,55821
Male,38,52002
Male,39,47842
Male,40,41317
Male,41,40280
Male,42,34810
Male,43,36517
Male,44,26609
Male,45,28790
Male,46,22483
Male,47,27566
Male,48,27118
Male,49,24987
Male,50,22203
Male,51,24469
Male,52,22691
Male,53,25146
Male,54,19913
Male,55,16657
Male,56,18066
Male,57,14842
Male,58,14588
Male,59,14333
Male,60,14392
Male,61,11831
Male,62,13712
Male,63,10389
Male,64,10575
Male,65,7620
Male,66,7325
Male,67,8477
Male,68,5151
Male,69,5225
Male,70,5066
Male,71,5117
Male,72,4683
Male,73,5126
Male,74,3002
Male,75,4084
Male,76,2901
Male,77,1714
Male,78,2014
Male,79,1977
Male,80,1661
Male,81,1123
Male,82,589
Male,83,1306
Male,84,494
Male,85,878
Male,86,689
Male,87,729
Male,88,372
Male,89,91
Male,90,321
Male,91,623
Male,92,154
Male,93,0
Male,94,59
Male,95,14
Male,96,84
Male,97,327
Male,98,0
Male,99,0
Male,100,200
